Company,ApplicationMethod,Status,Deadline,Location,GradeRestriction,JobTitle,Notes,Link
味全食品,自行申請,開放申請中,2025/04/11,台北/汐止,大四以上,供應鏈實習生,,https://www.104.com.tw/job/7ygrc
鼎漢國際工程顧問,系辦申請,開放申請中,2025/04/25,台北/台中/臺南/高雄,碩士班/大四/實習半年以上者優先,鼎漢國際工程顧問實習生,,./src/鼎漢/鼎漢國際工程_企業實習114.pdf
戴爾科技,自行申請,開放申請中,2025/05/09,台北,大三/大四,Supply Chain Summer Intern,,https://www.104.com.tw/job/8mhs6
德州儀器,自行申請,開放申請中,,台北,碩士,Supply Chain/Procurement and logistics,,https://www.104.com.tw/job/7dn1v
汽車,自行申請,開放申請中,2025/03/31,台北/新莊/楊梅,,營運管理,,https://www.104.com.tw/job/8mij3
裕隆汽車,自行申請,開放申請中,2025/04/30,苗栗,,供應管理,,https://www.104.com.tw/job/8n16g
新竹物流一年期實習,自行申請,開放申請中,,多個營業所可自行選擇,,,可自行至104選擇哪個營業所進行實習,https://www.104.com.tw/company/lcp1uow
台積電(非工程類),自行申請,開放申請中,,,碩士,Material Management & Risk Management,,https://careers.tsmc.com/zh_TW/careers/JobDetail?jobId=15286
台灣高鐵,自行申請,開放申請中,,視分發地點而定,限在學大專/研究生/應屆畢業生請勿投遞,,,[服勤](https://www.104.com.tw/job/86y94) [站務](https://www.104.com.tw/job/86y54)
蝦皮購物,自行申請,開放申請中,,台北,大二以上,Shopee Xpress/Operations,,https://careers.shopee.sg/job-detail/J01995930/1
中研院,自行申請,開放申請中,2025/03/17,台北,無,大型網路資料分析/最佳化程序方法和應用/環境和交通大數據分析,,https://www3.stat.sinica.edu.tw/2025internship/list.html
iRent,自行申請,開放申請中,2025/04/11,台北市中山區,,營運管理,,https://www.104.com.tw/job/8mw0i
福特六和汽車,自行申請,開放申請中,,桃園市中壢區,,暑期實習生,,https://www.104.com.tw/job/8nl2i
慧與科技一年實習生,自行申請,開放申請中,,台北市南港區,,supply chain,實習時間: 2025/7/7~2026/7/6 每周工作時數24小時,https://www.104.com.tw/job/8lrcm
Verkada,自行申請,開放申請中,,台北,,supply chain,,https://job-boards.greenhouse.io/verkada/jobs/4351306007
Silicon Labs,自行申請,開放申請中,,新竹,,supplier management,請自行特別注意實習時間,https://silabs.wd1.myworkdayjobs.com/en-US/SiliconlabsCareers/job/Hsinchu/Intern---Supplier-Management_20174-2
Nvidia,自行申請,開放申請中,,新竹,,Fulfillment Analyst (RDSS Intern),研發替代役,https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/Taiwan-Hsinchu/Fulfillment-Analyst--RDSS-Intern-_JR1992969-1
台北市政府交通局,系辦申請,開放申請中,2025/05/23,台北,,,,https://drive.google.com/drive/folders/1I-5emQeDAI6YyyPipST6LIrx8DYdugE7
交通部鐵道局,自行申請,開放申請中,,,,,請自行注意申請時間並上RICH職場體驗網投遞履歷,https://drive.google.com/drive/folders/1Hc6hMI5PgYQ0Mu4M2ivQxWACzIX9ponO
高雄捷運,系辦申請,開放申請中,2025/04/25,高雄,,,,https://drive.google.com/drive/folders/14egox66wqEc2Oc_9kYvoNjirBexah-Ge
創聚環境管理顧問股份有限公司,自行申請,開放申請中,,高雄,,,,https://www.104.com.tw/job/8nxy3
中華航空,系辦申請,開放申請中,2025/03/28,桃園捷運 機場旅館站(A14a),升大三以上,,,https://drive.google.com/drive/folders/1GAexQ5sHjgtGvviKRdVoX1HeV6yZSVgI
陽明海運（全年實習）,自行申請,開放申請中,,台中/基隆,大三以上,,,https://principalnet.iliscyber.yangming.com/recruit/angular/dist/login
新北市政府交通局,系辦申請,開放申請中,,新北,,,,https://drive.google.com/drive/folders/1i5N4AvmaS-dyi8cMTc6T1LiFrjXi4DD1
美商崔克自行車(半年或一年),自行申請,開放申請中,,,,,,https://drive.google.com/drive/folders/106iS9ItuZRGcDdh107nExWD_GVxCeJUL
PMI瑞士商菲利普莫里斯,自行申請,開放申請中,,台北市信義區,無,供應鏈/製造管理部門,,https://drive.google.com/drive/u/1/folders/1V3tJfo5aAuHxogSIIheUKxQpibzWGTCS
工研院,系辦申請,開放申請中,,新竹,無,,,https://drive.google.com/drive/u/1/folders/12FR34FQNdwMpRZpD83gr4f2bpQxbWBX3
財團法人中興工程顧問,系辦申請,開放申請中,,台北,大三升大四,,,https://drive.google.com/drive/u/1/folders/189ghrcwpNDr8uKrEE7DfBpUJ0tCYyQZu
高雄市政府交通局,系辦申請,開放申請中,,高雄,,,,https://drive.google.com/drive/u/1/folders/1jL9gItZBUUXunRlSpqWxAkKzGXcoxjkp
新北大眾捷運股份有限公司企劃處,系辦申請,開放申請中,,新北市新店區,,,,https://drive.google.com/drive/u/1/folders/1cN1j29sb1uIjiSMyvi_au34HtmT0L_BS
台中市政府交通局,系辦申請,開放申請中,,台中,,,,https://drive.google.com/drive/u/1/folders/1kPaLAxLtTIIBIld5xYPMS0yrr6X4N0Tp
台南市政府交通局,系辦申請,開放申請中,,台南,,,,https://drive.google.com/drive/u/1/folders/1G-xMwTXDZgAC1AlW1gSjzAlAJYVBNd9-
新竹物流（暑期）,系辦申請,開放申請中,,新竹縣新豐鄉,,,,./src/新竹物流/陽明交通大學-暑期學生企業實習名額表(HCT回)_114年.doc
